VOLTAJE,CORRIENTE,POTENCIA ACTIVA,FACTOR DE POTENCIA,POTENCIA APARENTE
115.958603,15.564003,1765.066528,0.977995,1804.780029
115.919609,15.488421,1756.422729,0.978284,1795.411743
115.621819,15.439684,1746.317627,0.978239,1785.164307
115.796509,15.465652,1750.90625,0.977686,1790.868408
116.026131,15.474503,1757.414917,0.978818,1795.446655
115.758614,15.486078,1753.519897,0.978174,1792.646973
116.289215,10.129816,1108.807373,0.941272,1177.988403
116.195076,10.068995,1101.051392,0.941096,1169.967529
116.212029,10.05873,1100.506714,0.941453,1168.945435
116.143234,10.465183,1169.287109,0.962012,1215.460205
116.112823,10.475114,1169.960083,0.961905,1216.295044
116.151169,10.435505,1165.563721,0.96161,1212.096069
116.068863,10.518188,1173.362427,0.961115,1220.834229
116.116211,10.490227,1171.22876,0.961533,1218.085327
116.031143,10.453106,1165.676392,0.961077,1212.885864
116.146294,10.455984,1167.457153,0.961326,1214.423828
116.253128,10.462379,1168.516235,0.960726,1216.284302
116.126617,10.419493,1162.625854,0.960863,1209.980469
116.401855,10.466767,1171.045898,0.961173,1218.351196
116.123871,10.543472,1177.253784,0.961535,1224.348755
116.546341,10.308134,1155.732788,0.962008,1201.375366
116.700211,10.385555,1166.445068,0.962416,1211.99646
116.752632,10.406974,1168.889648,0.962016,1215.041626
116.717506,10.452023,1173.818237,0.962198,1219.93396
116.84108,10.404997,1168.796387,0.961394,1215.731079
116.707886,10.43821,1172.002563,0.96206,1218.221313
116.898224,10.472436,1178.611328,0.962753,1224.209106
116.69072,10.390647,1167.322754,0.962747,1212.492065
116.602745,10.376828,1164.44873,0.962381,1209.966675
116.658073,10.372413,1164.282104,0.962196,1210.025635
116.649658,10.400074,1167.19458,0.962107,1213.165039
116.714417,10.422964,1170.580811,0.962245,1216.510132
116.839882,10.438326,1173.399902,0.962109,1219.612793
116.119728,16.12776,1827.144043,0.975647,1872.751099
116.271622,16.143099,1823.69165,0.971607,1876.984253
116.262787,16.026939,1808.032837,0.97032,1863.33667
116.156136,16.016741,1806.432129,0.970969,1860.442749
116.274475,15.931118,1797.848389,0.97056,1852.382324
116.298981,15.935822,1797.969849,0.970135,1853.319824
116.289055,15.828588,1785.371094,0.969946,1840.69165
116.06646,15.841761,1782.757202,0.969576,1838.697021
116.668861,15.987591,1809.250366,0.969975,1865.254028
116.351471,16.01277,1806.885376,0.969823,1863.109253
116.54306,16.175596,1828.327881,0.969856,1885.153442
116.642899,16.0875,1819.760742,0.969767,1876.492554
116.587868,16.076157,1817.503784,0.969705,1874.28479
116.604752,16.127222,1823.525513,0.969697,1880.510742
116.624557,16.167116,1828.937622,0.97001,1885.482788
116.419945,16.20759,1830.584229,0.970161,1886.886719
116.608696,16.136217,1825.776489,0.97032,1881.623291
116.635612,16.130272,1824.376709,0.96971,1881.364136
116.616814,16.080276,1818.255615,0.969617,1875.230591
116.616081,16.06551,1817.584839,0.970156,1873.496826
116.362816,16.086071,1817.707764,0.971091,1871.820557
116.322868,16.028536,1810.289185,0.970932,1864.485229
116.498199,16.056747,1815.38916,0.970494,1870.582153
116.629944,16.045309,1814.888794,0.969822,1871.363525
116.423836,16.086781,1818.21228,0.970808,1872.884644
116.446434,16.063135,1815.809082,0.970764,1870.494751
116.456345,16.064564,1815.926147,0.970658,1870.820313
116.407036,16.045921,1811.746704,0.969959,1867.858154
116.371864,16.082718,1817.492065,0.971103,1871.575806
116.998924,10.405445,1170.410767,0.961381,1217.425903
116.859482,10.476691,1182.246094,0.96565,1224.300659
116.510765,10.479495,1178.709961,0.965385,1220.973999
116.771675,10.435679,1176.972168,0.965846,1218.591797
116.593445,10.465637,1178.02124,0.965413,1220.224731
116.869873,10.446731,1178.039551,0.964888,1220.908081
116.807297,10.429593,1176.485229,0.965715,1218.252563
116.731552,10.445036,1177.329712,0.965606,1219.265259
116.767242,10.457493,1179.093872,0.965606,1221.092651
116.822266,10.380944,1170.897217,0.965509,1212.725464
116.601967,10.425117,1174.287964,0.966024,1215.589233
116.862122,10.478581,1182.805908,0.965911,1224.549316
116.667374,10.426472,1173.611816,0.964801,1216.429077
116.73774,10.428101,1174.749512,0.965003,1217.352905
116.769722,10.499379,1182.765137,0.964727,1226.009644
116.715965,10.366588,1168.041138,0.965366,1209.946289
116.589195,10.467358,1177.922729,0.965209,1220.380859
116.702713,10.468147,1178.777954,0.964898,1221.661133
116.650215,10.438608,1175.244507,0.965162,1217.665894
116.993591,10.422382,1177.606689,0.965764,1219.351929
116.59256,10.397934,1170.321777,0.965356,1212.321777
116.724571,10.445514,1177.614502,0.965853,1219.248169
116.937637,10.503606,1185.744507,0.96538,1228.266846
116.742882,10.398326,1171.760864,0.965262,1213.930542
116.512924,10.359553,1165.025269,0.965206,1207.021851
116.746315,10.430791,1174.787476,0.964715,1217.756348
116.807739,10.43854,1177.232544,0.965497,1219.302246
116.778175,10.409255,1172.950439,0.964936,1215.573853
116.238266,17.018227,1849.3573,0.934883,1978.169189
116.321312,15.319484,1742.199463,0.977675,1781.982422
116.427551,15.288317,1738.302124,0.976584,1779.981323
116.489891,15.289393,1738.998901,0.976384,1781.059814
116.45549,15.127336,1720.806396,0.976809,1761.661255
116.389244,15.193583,1726.305542,0.976213,1768.369629
116.36689,15.187451,1725.710571,0.976458,1767.316528
116.499786,15.127174,1720.0802,0.976036,1762.312622
116.627953,15.191447,1730.039307,0.976459,1771.747437
116.477257,15.243685,1734.100464,0.976659,1775.542603
116.686417,15.372119,1751.221802,0.976309,1793.717529
116.38739,15.321318,1741.983643,0.976882,1783.20813
116.764099,15.407142,1757.106934,0.976713,1799.000977
116.383743,15.323461,1741.230469,0.976353,1783.401733
116.621986,15.407053,1754.28479,0.976338,1796.801147
116.645409,15.423705,1757.143066,0.976677,1799.10437
116.378136,15.361844,1746.6604,0.976998,1787.782715
116.581787,15.398008,1753.426758,0.97677,1795.127319
116.338043,15.338087,1743.052246,0.976827,1784.403076
116.410065,15.359498,1747.278687,0.977225,1788.000122
116.48793,15.283524,1739.620361,0.977125,1780.346069
116.423012,15.323185,1743.904419,0.977541,1783.971313
116.536484,15.294132,1740.57605,0.976577,1782.324341
116.389824,15.283289,1737.914795,0.977005,1778.819336
116.496399,15.364285,1748.732544,0.977009,1789.883789
116.321945,15.323795,1741.45105,0.976975,1782.493652
116.668701,15.406315,1755.856201,0.976868,1797.434692
116.924255,9.89934,1099.143677,0.949606,1157.4729
117.012909,9.90344,1100.384521,0.949565,1158.830322
116.859116,9.925977,1101.365845,0.949502,1159.940918
116.958839,9.933187,1102.645996,0.949105,1161.774048
116.907387,9.987722,1108.145386,0.949048,1167.63855
116.609604,9.940489,1100.502075,0.949399,1159.156494
116.796013,9.917709,1099.275391,0.949002,1158.348877
117.005554,9.951958,1105.741089,0.949595,1164.434326
117.07431,9.97143,1108.494751,0.949543,1167.398315
116.658463,9.877815,1093.671631,0.949095,1152.330688
116.907974,9.916613,1100.108887,0.948917,1159.331055
116.741806,9.950292,1102.04834,0.948721,1161.61499
116.835449,9.953856,1104.179321,0.949453,1162.963135
116.701347,9.911612,1097.930908,0.949194,1156.698364
116.936264,9.954986,1105.622681,0.949767,1164.098877
117.012283,9.969459,1108.695801,0.950406,1166.549072
116.891762,9.90816,1099.851685,0.949636,1158.182251
116.692688,9.885384,1095.001099,0.949243,1153.552002
116.905388,9.967969,1106.11145,0.9492,1165.309326
116.769554,9.89514,1097.105957,0.949504,1155.45105
116.955994,9.956905,1105.601807,0.949406,1164.519775
116.607521,9.920794,1098.251831,0.949356,1156.839233
116.773109,9.905097,1098.432861,0.949668,1156.648926
116.750626,9.939235,1102.059814,0.949714,1160.411865
116.844337,9.953416,1104.531372,0.949726,1163.000244
117.246246,9.922133,1104.965088,0.949827,1163.332886
116.7873,9.912342,1098.661865,0.949057,1157.63562
116.376083,15.754986,1793.911621,0.978406,1833.50354
116.379227,15.473972,1760.973755,0.977858,1800.848877
116.571831,15.316039,1745.694702,0.977751,1785.418701
116.487892,15.254648,1736.447388,0.977189,1776.981812
116.24942,15.192871,1724.620605,0.976479,1766.162476
116.422668,15.227807,1731.894775,0.976892,1772.861938
116.290634,15.25561,1733.661743,0.977215,1774.084595
116.43515,15.223566,1732.954102,0.977657,1772.558228
116.419189,15.257029,1736.378662,0.977575,1776.210938
116.309952,15.332619,1743.177124,0.977481,1783.336182
116.520241,15.398334,1754.481934,0.977854,1794.217529
116.27774,15.420466,1753.394897,0.97788,1793.057007
116.257324,15.441139,1755.286621,0.977796,1795.145508
116.328377,15.40282,1751.1698,0.977333,1791.785034
116.392754,14.505076,1665.615845,0.986572,1688.285767
116.54438,14.508389,1667.028076,0.985899,1690.871216
116.1362,18.186392,2091.023193,0.990022,2112.098389
115.892059,18.181356,2085.966553,0.989982,2107.074951
115.845886,18.141661,2081.181396,0.990267,2101.636719
115.954826,18.201851,2089.289063,0.989906,2110.592529
115.905228,18.159412,2084.380371,0.990312,2104.770752
115.898994,18.257414,2095.029297,0.990082,2116.015869
115.893394,18.219206,2090.477295,0.99005,2111.485596
115.896797,18.226042,2091.743164,0.990249,2112.339844
116.49929,16.740574,1915.635498,0.982244,1950.265015
116.450325,14.499418,1664.106812,0.985576,1688.461914
116.884811,9.615686,1004.494385,0.893736,1123.927734
117.033958,9.614919,1006.595947,0.894536,1125.271973
116.830811,9.547854,1003.376709,0.899499,1115.483521
117.017174,9.620741,1013.704773,0.900437,1125.79187
116.983406,9.641273,1016.642517,0.901384,1127.869019
117.040192,9.674885,1019.448425,0.900294,1132.350342
116.946983,9.643749,1015.846802,0.900727,1127.807373
117.02507,9.622835,1014.249573,0.900664,1126.112915
116.897659,9.618631,1011.424927,0.899528,1124.395508
117.10836,9.63431,1014.742065,0.899388,1128.258179
116.874413,9.588432,1008.656128,0.90007,1120.642334
117.125572,9.648736,1017.645752,0.900481,1130.11377
117.168968,9.652277,1019.141602,0.90114,1130.947388
117.169563,9.706566,1024.087402,0.900444,1137.314087
117.144966,9.755913,1030.918823,0.902055,1142.856079
117.151703,9.734259,1027.303955,0.90084,1140.38501
117.21521,9.660774,1020.461853,0.901158,1132.389648
117.02668,9.637588,1015.809082,0.900656,1127.854858
116.836609,9.714676,1021.649536,0.900108,1135.029785
116.973564,9.654569,1016.74408,0.900308,1129.329346
116.862183,10.290026,1073.913574,0.893056,1202.514893
116.809143,9.92996,1083.825562,0.934405,1159.910156
116.853226,9.96175,1088.608765,0.935181,1164.062622
116.967239,9.921436,1083.614746,0.933762,1160.483032
116.696747,9.855979,1073.644653,0.933474,1150.160645
116.805794,9.894292,1080.564697,0.934979,1155.710571
116.954773,9.914778,1084.653687,0.935385,1159.580566
116.988235,9.887291,1079.458984,0.933226,1156.696777
116.434441,24.319466,1624.116089,0.573564,2831.623291
116.347527,15.21072,1741.099731,0.983822,1769.729614
116.364914,15.287171,1745.813354,0.981406,1778.890381
116.2966,15.135914,1726.732544,0.980956,1760.255371
116.289871,15.038567,1715.539673,0.980963,1748.833008
116.221054,15.108645,1723.171509,0.981337,1755.942749
116.434227,15.083385,1722.670288,0.980895,1756.222168
116.371658,15.085047,1721.453247,0.980621,1755.471924
116.191574,15.05873,1716.068726,0.98078,1749.69751
116.264198,15.18536,1733.102661,0.981642,1765.513672
116.524529,15.206152,1737.874634,0.980803,1771.889648
116.148376,15.218958,1734.457764,0.981218,1767.657227
116.385254,15.282252,1743.966797,0.980512,1778.628784
116.328224,15.233769,1738.162476,0.980839,1772.11731
116.075157,15.263919,1737.874023,0.980873,1771.761841
116.444672,15.296643,1748.409546,0.981584,1781.212646
116.182716,15.248753,1738.695801,0.981404,1771.641479
116.316566,15.212527,1734.913086,0.980471,1769.468994
116.203911,15.229165,1735.818848,0.980861,1769.688599
116.379555,15.198687,1735.626709,0.981236,1768.816406
115.880981,15.155138,1722.853516,0.981016,1756.192261
116.305557,15.241618,1739.085083,0.981046,1772.684937
116.180817,15.183069,1731.178711,0.981404,1763.981323
116.311592,15.226521,1738.844849,0.981832,1771.020874
116.553902,15.209112,1738.828857,0.980903,1772.681396
116.314568,15.213907,1735.748291,0.980871,1769.598999
117.194656,9.915945,1084.853638,0.933532,1162.095825
116.767052,9.788183,1066.857666,0.933435,1142.937256
117.006256,9.80012,1070.567871,0.933628,1146.675415
116.938843,9.790829,1069.243408,0.933896,1144.928223
116.50119,9.733936,1058.196777,0.933142,1134.015137
117.006065,9.798465,1069.952148,0.93325,1146.479858
117.249657,9.836491,1076.858276,0.933699,1153.325195
116.912231,9.798288,1069.239746,0.933394,1145.539795
116.744225,9.856517,1073.198486,0.932655,1150.691406
116.853699,9.795649,1068.866089,0.933787,1144.657715
117.145256,9.842882,1076.75769,0.933837,1153.046997
116.883568,9.769566,1065.560059,0.933145,1141.901733
117.006203,9.768701,1065.73877,0.932406,1142.998535
116.747818,9.804708,1068.407959,0.93337,1144.678345
116.78318,9.792798,1067.554932,0.933476,1143.634155
116.966156,9.777435,1067.935547,0.933813,1143.629028
116.807037,9.72667,1060.229736,0.933183,1136.143555
116.749168,9.798856,1067.152954,0.932819,1144.008301
117.032158,9.807157,1070.565308,0.932749,1147.752686
116.96463,9.815924,1071.461792,0.933235,1148.115845
117.007286,9.730745,1063.214355,0.933817,1138.568115
116.838867,9.791822,1067.452148,0.933034,1144.06543
116.982758,9.861032,1076.409546,0.933111,1153.570801
116.934395,9.82816,1072.948975,0.933608,1149.25
116.946999,9.815441,1071.164429,0.933162,1147.886353
116.918427,9.788879,1067.529541,0.932747,1144.500366
116.862228,9.812,1069.29248,0.932534,1146.652222
116.812035,9.82039,1070.156128,0.932891,1147.139648
116.75193,9.733259,1059.656738,0.932487,1136.376831
116.418755,18.879152,1854.3573,0.8437,2197.887451
116.452728,15.277344,1749.29187,0.983252,1779.088379
116.28904,15.317565,1747.473877,0.98103,1781.264893
116.112785,15.118586,1721.961914,0.980917,1755.46106
116.297653,15.116035,1724.13208,0.980758,1757.959351
116.268547,15.083783,1720.179077,0.980847,1753.769531
116.34848,15.11941,1725.642212,0.980969,1759.120361
116.269714,15.170553,1730.931152,0.981323,1763.875854
116.274437,15.16797,1730.387695,0.981142,1763.647095
116.623077,14.799789,1701.160156,0.98561,1725.996948
116.288879,14.703053,1685.075928,0.985539,1709.801514
116.458496,14.778636,1697.120605,0.986069,1721.097778
116.45311,14.785505,1697.754272,0.986024,1721.818115
116.026443,14.784357,1691.028564,0.985806,1715.376343
116.285332,14.789202,1695.305542,0.985776,1719.767212
116.151329,14.752225,1689.761963,0.986152,1713.490479
116.261665,14.758739,1691.276978,0.985664,1715.87561
116.292099,14.752676,1691.679443,0.986046,1715.619629
116.216354,14.806509,1696.115356,0.985679,1720.758545
116.278397,14.767742,1693.335938,0.98612,1717.169434
116.261047,14.838867,1701.278198,0.986144,1725.182251
116.118782,14.800052,1695.079834,0.986335,1718.563965
116.248337,14.813817,1697.897949,0.985957,1722.081543
116.427353,14.762173,1695.01416,0.986207,1718.720703
116.224976,14.803993,1696.914917,0.986238,1720.59375
116.173637,14.839901,1700.28833,0.986243,1724.005249
116.988968,9.900009,1043.623413,0.90108,1158.191895
116.977394,9.900431,1043.161133,0.900732,1158.126587
116.775009,9.922422,1043.395752,0.900495,1158.690918
116.771851,9.745605,1023.948303,0.899769,1138.012329
116.68985,9.777334,1026.499756,0.899716,1140.915649
116.818573,9.687368,1017.310425,0.898951,1131.664551
116.689018,9.695418,1017.614563,0.89947,1131.348877
116.905792,9.766007,1027.217651,0.899724,1141.702881
116.796341,9.73356,1022.142029,0.899105,1136.844116
116.868042,9.797909,1031.328491,0.900675,1145.062378
116.702515,9.833658,1032.382324,0.899591,1147.612671
116.530296,9.807959,1028.157471,0.899585,1142.924316
116.66246,9.819529,1030.718384,0.899743,1145.570313
116.83593,9.811543,1032.129761,0.900369,1146.340698
116.674957,9.708344,1019.421204,0.899976,1132.720703
116.83551,9.791216,1029.900269,0.900293,1143.96167
116.747169,9.697446,1018.179016,0.899333,1132.149414
116.733101,9.728416,1022.094177,0.900025,1135.628174
116.593567,9.656443,1012.665344,0.899444,1125.87915
116.764397,9.664502,1016.320923,0.900619,1128.469727
116.573662,9.684201,1016.43042,0.900354,1128.922852
116.808289,9.668118,1016.30249,0.899927,1129.316406
116.772995,9.693745,1018.230286,0.899522,1131.967651
116.911171,9.728502,1023.995178,0.900318,1137.370605
116.53466,9.725293,1018.711304,0.898863,1133.33374
116.415802,9.687285,1013.741089,0.898903,1127.753052
116.718491,9.721929,1020.460815,0.899299,1134.728882
116.537506,9.737655,1020.814026,0.899553,1134.802002
116.631599,9.699594,1017.861084,0.899743,1131.279175
116.430084,9.725077,1019.239502,0.900156,1132.291504
116.173172,15.832087,1789.767578,0.973089,1839.263672
115.956039,16.19599,1840.116699,0.979816,1878.022827
115.945534,15.681574,1778.793823,0.978322,1818.208496
116.090691,15.420162,1748.660889,0.976831,1790.137329
116.024666,15.400986,1744.999512,0.976555,1786.894165
116.067963,15.368925,1741.942383,0.976513,1783.839844
115.951134,15.440184,1748.2052,0.976484,1790.306763
115.957253,15.516105,1757.625366,0.97689,1799.204834
115.943649,15.598822,1768.362793,0.977761,1808.584351
115.943932,15.609245,1769.827759,0.977915,1809.797241
115.895828,15.788527,1789.399536,0.977908,1829.824341
116.0895,15.790801,1792.579224,0.97787,1833.14624
115.985451,15.782711,1790.970825,0.978371,1830.564819
115.657707,15.77384,1784.520142,0.978159,1824.366211
116.023628,15.712168,1783.297363,0.978231,1822.982666
115.720627,15.70646,1776.666138,0.9775,1817.561401
116.117401,15.709163,1784.81189,0.978458,1824.107178
116.26342,15.806029,1797.9823,0.978407,1837.663086
116.066788,15.727168,1785.032593,0.977885,1825.401855
115.9869,15.760983,1787.51062,0.977814,1828.067505
115.91851,15.792748,1791.034912,0.978348,1830.671875
115.766129,15.738634,1782.057495,0.978077,1822.000732
116.057014,15.778052,1791.038452,0.978093,1831.153687
115.843338,15.761898,1785.543457,0.977892,1825.910889
115.901321,15.72764,1783.004028,0.978139,1822.854248
115.936829,15.702216,1779.859985,0.977695,1820.465088
116.538391,10.008404,1110.090576,0.951754,1166.363281
116.753326,9.992269,1110.505127,0.951891,1166.630615
116.469749,9.930351,1100.854248,0.951814,1156.585571
116.367195,9.918333,1097.345825,0.950767,1154.168579
116.57238,9.996824,1109.635864,0.952188,1165.353638
116.4935,9.987327,1107.412109,0.951828,1163.458618
116.536591,9.983994,1107.138428,0.951558,1163.50061
116.5261,10.016829,1111.024414,0.951854,1167.222046
116.548019,10.007854,1110.300659,0.951907,1166.39563
116.852257,10.05082,1117.928955,0.951865,1174.46106
116.444618,9.997692,1108.342773,0.952039,1164.17749
